
2021/12/28 (04:36:15) | ===> btop++ v.1.1.3
2021/12/28 (04:36:15) | INFO: Logger set to INFO
2021/12/28 (04:36:16) | INFO: Logger set to DEBUG

2022/01/05 (16:24:44) | ===> btop++ v.1.1.4
2022/01/05 (16:24:44) | INFO: Logger set to INFO
2022/01/05 (16:24:45) | INFO: Logger set to DEBUG

2022/03/04 (00:14:01) | ===> btop++ v.1.2.3
2022/03/04 (00:14:01) | INFO: Logger set to INFO
2022/03/04 (00:14:02) | INFO: Logger set to DEBUG
2022/03/04 (00:14:04) | INFO: Logger set to INFO

2022/03/21 (14:58:51) | ===> btop++ v.1.2.5
2022/03/21 (14:58:51) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
